PART ONE: 7,3,5,7,5,7,4,3,0
0 => 3
1 => 2
2 => 1
3 => 0
4 => 5
5 => 3
6 => 5
7 => 5
8 => 3,2
9 => 2,2
10 => 1,2
11 => 0,2
12 => 1,2
13 => 3,2
14 => 4,2
15 => 7,2
16 => 3,1
17 => 3,1
18 => 1,1
19 => 0,1
20 => 5,1
21 => 3,1
22 => 7,1
23 => 1,1
24 => 3,0
25 => 3,0
26 => 1,0
27 => 0,0
28 => 1,0
29 => 3,0
30 => 6,0
31 => 3,0
32 => 2,5
33 => 0,5
34 => 1,5
35 => 0,5
36 => 5,5
37 => 3,5
38 => 1,5
39 => 5,5
40 => 2,3
41 => 0,3
42 => 1,3
43 => 0,3
44 => 1,3
45 => 3,3
46 => 0,3
47 => 7,3
48 => 2,5
49 => 1,5
50 => 1,5
51 => 0,5
52 => 5,5
53 => 3,5
54 => 3,5
55 => 1,5
56 => 2,5
57 => 1,5
58 => 1,5
59 => 0,5
60 => 1,5
61 => 3,5
62 => 2,5
63 => 3,5
64 => 1,3,2
65 => 6,3,2
66 => 1,3,2
67 => 1,3,2
68 => 5,3,2
69 => 3,3,2
70 => 5,3,2
71 => 5,3,2
72 => 1,2,2
73 => 6,2,2
74 => 1,2,2
75 => 1,2,2
76 => 1,2,2
77 => 3,2,2
78 => 4,2,2
79 => 7,2,2
80 => 1,1,2
81 => 7,1,2
82 => 1,1,2
83 => 1,1,2
84 => 5,1,2
85 => 3,1,2
86 => 7,1,2
87 => 1,1,2
88 => 1,0,2
89 => 7,0,2
90 => 1,0,2
91 => 1,0,2
92 => 1,0,2
93 => 3,0,2
94 => 6,0,2
95 => 3,0,2
96 => 0,1,2
97 => 4,1,2
98 => 1,1,2
99 => 1,1,2
100 => 5,1,2
101 => 3,1,2
102 => 1,1,2
103 => 5,1,2
104 => 0,3,2
105 => 4,3,2
106 => 1,3,2
107 => 1,3,2
108 => 1,3,2
109 => 3,3,2
110 => 0,3,2
111 => 7,3,2
112 => 0,4,2
113 => 5,4,2
114 => 1,4,2
115 => 1,4,2
116 => 5,4,2
117 => 3,4,2
118 => 3,4,2
119 => 1,4,2
120 => 0,7,2
121 => 5,7,2
122 => 1,7,2
123 => 1,7,2
124 => 1,7,2
125 => 3,7,2
126 => 2,7,2
127 => 3,7,2
128 => 7,3,1
129 => 2,3,1
130 => 0,3,1
131 => 2,3,1
132 => 5,3,1
133 => 3,3,1
134 => 5,3,1
135 => 5,3,1
136 => 7,3,1
137 => 2,3,1
138 => 0,3,1
139 => 2,3,1
140 => 1,3,1
141 => 3,3,1
142 => 4,3,1
143 => 7,3,1
144 => 7,1,1
145 => 3,1,1
146 => 0,1,1
147 => 2,1,1
148 => 5,1,1
149 => 3,1,1
150 => 7,1,1
151 => 1,1,1
152 => 7,0,1
153 => 3,0,1
154 => 0,0,1
155 => 2,0,1
156 => 1,0,1
157 => 3,0,1
158 => 6,0,1
159 => 3,0,1
160 => 6,5,1
161 => 0,5,1
162 => 0,5,1
163 => 2,5,1
164 => 5,5,1
165 => 3,5,1
166 => 1,5,1
167 => 5,5,1
168 => 6,3,1
169 => 0,3,1
170 => 0,3,1
171 => 2,3,1
172 => 1,3,1
173 => 3,3,1
174 => 0,3,1
175 => 7,3,1
176 => 6,7,1
177 => 1,7,1
178 => 0,7,1
179 => 2,7,1
180 => 5,7,1
181 => 3,7,1
182 => 3,7,1
183 => 1,7,1
184 => 6,1,1
185 => 1,1,1
186 => 0,1,1
187 => 2,1,1
188 => 1,1,1
189 => 3,1,1
190 => 2,1,1
191 => 3,1,1
192 => 5,3,0
193 => 6,3,0
194 => 0,3,0
195 => 3,3,0
196 => 5,3,0
197 => 3,3,0
198 => 5,3,0
199 => 5,3,0
200 => 5,3,0
201 => 6,3,0
202 => 0,3,0
203 => 3,3,0
204 => 1,3,0
205 => 3,3,0
206 => 4,3,0
207 => 7,3,0
208 => 5,1,0
209 => 7,1,0
210 => 0,1,0
211 => 3,1,0
212 => 5,1,0
